Survey Name,Time,NCP percentage,BNP percentage,Jamat percentage,IAB+ percentage,Jatiyo Party Percentage,BAL percentage,Sample size
Innovision -pre,09/2024,16.13,33.87,22.58,4.83,1.61,8.06,
BRAC BIGD-2,10/31/2024,4.08,30.24,20.79,5.67,1.89,17.01,4158
Inqilab Newspaper,12/05/2024,8.11,61.08,14.8,5.05,,5.58,6036
Innovision -1,03/03/2025,5.14,41.69,31.56,2.55,1.01,13.96,10696
BRAC BIGD-3,07/20/2025,7.91,33.9,29.38,1.98,0.85,20.62,5489
Innovision-2,09/15/2025,4.1,41.3,30.3,4.1,3.1,18.8,10413
IRI,10/12/2025,7.69,38.4,33.28,5.12,6.4,,4985
BYLC,10/21/2025,6.88,37.44,32.28,2.87,0.76,18.145,2545
Prothom Alo,10/28/2025,0.9,57.5,32.5,0.1,0.1,8.5,10342
Narrativ (ML),12/20/2025,7.7,43.2,40.8,3,,,22174
EASD,01/01/2026,2.6,70,19,,1.4,,20495